No,carat,depth,table,x,y,z
90,0.32,62.9,58,4.35,4.33,2.73
91,0.7,62.5,57,5.7,5.72,3.57
92,0.86,55.1,69,6.45,6.33,3.52
93,0.7,61.6,56,5.7,5.67,3.5
94,0.71,62.4,57,5.68,5.73,3.56
95,0.78,63.8,56,5.81,5.85,3.72
96,0.7,57.5,58,5.85,5.9,3.38
97,0.7,59.4,62,5.71,5.76,3.4
98,0.96,66.3,62,6.27,5.95,4.07
99,0.73,61.6,59,5.77,5.78,3.56
100,0.8,61.5,58,5.97,5.93,3.66
101,0.75,63.2,56,5.8,5.75,3.65
102,0.75,59.9,54,6,5.96,3.58
103,0.74,61.6,55,5.8,5.85,3.59
104,0.75,61.7,58,5.85,5.79,3.59
105,0.8,62.9,56,5.94,5.87,3.72
106,0.75,62.2,55,5.87,5.8,3.63
107,0.8,63,59,5.9,5.81,3.69
108,0.74,62.3,55,5.77,5.81,3.61
109,0.81,58.8,57,6.14,6.11,3.6
110,0.59,62,55,5.38,5.43,3.35
111,0.8,61.4,57,5.96,6,3.67
112,0.74,62.2,56,5.8,5.84,3.62
113,0.9,63,58,6.16,6.12,3.87
114,0.74,62.2,59,5.73,5.82,3.59
115,0.73,62.6,56,5.77,5.74,3.6
116,0.73,62.7,53,5.8,5.75,3.62
117,0.8,61.7,58,5.98,5.94,3.68
118,0.71,62.4,54,5.72,5.76,3.58
119,0.7,60.7,58,5.73,5.76,3.49
120,0.8,59.9,59,6.01,6.07,3.62
121,0.71,62.3,56,5.73,5.69,3.56
122,0.74,62.3,54,5.8,5.83,3.62
123,0.7,61.7,63,5.64,5.61,3.47
124,0.7,64.5,57,5.57,5.53,3.58
125,0.7,65.3,55,5.63,5.58,3.66
126,0.7,61.6,60,5.65,5.59,3.46
127,0.91,61.4,56,6.09,5.97,3.7
128,0.61,59.6,57,5.56,5.58,3.32
129,0.91,64.4,57,6.11,6.09,3.93
130,0.91,65.7,60,6.03,5.99,3.95
131,0.77,62,56,5.89,5.86,3.64
132,0.71,63.6,58,5.64,5.68,3.6
133,0.71,61.9,59,5.69,5.72,3.53
134,0.7,62.6,60,5.62,5.65,3.53
135,0.77,61.3,60,5.88,5.9,3.61
136,0.63,60.9,60,5.52,5.55,3.37
137,0.71,60.1,62,5.74,5.77,3.46
138,0.71,61.8,59,5.69,5.73,3.53
139,0.76,61.2,57,5.88,5.91,3.61
140,0.64,61.9,56,5.53,5.56,3.43
141,0.71,60.9,57,5.78,5.75,3.51
142,0.71,59.8,56,5.89,5.81,3.5
143,0.7,61.8,55,5.68,5.72,3.52
144,0.7,60,57,5.8,5.87,3.5
145,0.71,61.6,55,5.74,5.76,3.54
146,0.7,62.1,64,5.62,5.65,3.5
147,0.71,63.3,59,5.52,5.61,3.52
148,0.73,60.2,56,5.83,5.87,3.52
149,0.7,61.1,58,5.66,5.73,3.48
150,0.7,60.9,57,5.73,5.76,3.5
151,0.71,61.7,59,5.71,5.67,3.51
152,0.74,61.3,56,5.82,5.86,3.57
153,0.71,62.5,60,5.65,5.61,3.52
154,0.73,61.4,59,5.83,5.76,3.56
155,0.76,62.9,57,5.79,5.81,3.65
156,0.76,62.4,57,5.78,5.83,3.62
157,0.71,60.7,56,5.77,5.8,3.51
158,0.73,60.7,58,5.87,5.82,3.55
159,0.73,61.5,58,5.79,5.75,3.55
160,0.73,59.9,57,5.92,5.89,3.54
161,0.73,59.2,59,5.92,5.87,3.49
162,0.72,60.3,56,5.81,5.83,3.51
163,0.73,61.7,60,5.79,5.82,3.58
164,0.71,61.9,57,5.73,5.77,3.56
165,0.79,61.9,55,5.97,5.92,3.68
166,0.73,60.4,59,5.83,5.89,3.54
167,0.8,61,57,6.01,6.03,3.67
168,0.58,61.5,55,5.39,5.44,3.33
169,0.58,61.7,56,5.33,5.37,3.3
170,0.71,59.2,61,5.8,5.88,3.46
171,0.75,61.3,56,5.85,5.89,3.6
172,0.7,58,62,5.87,5.78,3.38
173,1.17,60.2,61,6.83,6.9,4.13
174,0.6,61.7,55,5.41,5.44,3.35
175,0.7,62.7,55,5.68,5.74,3.58
176,0.83,64.6,54,5.85,5.88,3.79
177,0.74,61.3,61,5.8,5.84,3.57
178,0.72,63.7,56.4,5.62,5.69,3.61
179,0.71,62.7,58,5.74,5.68,3.58
180,0.71,62.2,57,5.79,5.62,3.55
181,0.54,61.6,56,5.25,5.27,3.24
182,0.54,61.5,57,5.24,5.26,3.23
183,0.72,61.8,56,5.72,5.75,3.55
184,0.72,60.7,56,5.79,5.82,3.53
185,0.72,59.7,60.5,5.8,5.84,3.47
186,0.71,60.5,56,5.8,5.76,3.5
187,0.7,62.7,58,5.66,5.73,3.57
188,0.71,62.1,58,5.67,5.7,3.53
189,0.71,62.8,57,5.64,5.69,3.56
190,0.71,63.8,58,5.61,5.64,3.59
191,0.71,57.8,60,5.87,5.9,3.4
192,0.7,62.1,55,5.7,5.67,3.53
193,0.7,61.1,60,5.71,5.64,3.47
194,0.7,60,59,5.79,5.75,3.46
195,0.7,61.2,57,5.73,5.68,3.49
196,0.7,62.7,59,5.67,5.63,3.54
197,0.7,61,57,5.73,5.68,3.48
198,0.7,61,58,5.78,5.72,3.51
199,0.7,61.4,57,5.76,5.7,3.52
200,0.72,61.8,61,5.82,5.71,3.56
201,0.7,59.9,63,5.76,5.7,3.43
202,0.7,61.3,58,5.71,5.68,3.49
203,0.7,60.5,58,5.77,5.74,3.48
204,0.7,64.1,59,5.64,5.59,3.6
205,0.98,67.9,60,6.05,5.97,4.08
206,0.78,62.4,58,5.83,5.8,3.63
207,0.7,63.2,60,5.6,5.51,3.51
208,0.52,61.3,55,5.19,5.22,3.19
209,0.73,60.8,56,5.82,5.84,3.55
210,0.74,61.7,56,5.84,5.8,3.59
211,0.7,63.6,57,5.61,5.65,3.58
212,0.77,61.2,58,5.9,5.93,3.62
213,0.71,62.1,54,5.68,5.72,3.54
214,0.74,61.5,55,5.81,5.86,3.59
215,0.7,61.4,59,5.64,5.73,3.49
216,1.01,61.8,60,6.39,6.36,3.94
217,0.77,62.2,56,5.83,5.88,3.64
218,0.78,61.2,56,5.92,5.99,3.64
219,0.72,60.6,63,5.83,5.76,3.51
220,0.53,57.5,64,5.34,5.37,3.08
221,0.76,61.3,56,5.9,5.94,3.63
222,0.7,57.2,62,5.81,5.77,3.31
223,0.7,62.9,60,5.62,5.54,3.51
224,0.75,63.1,58,5.78,5.73,3.63
225,0.72,60.8,57,5.76,5.75,3.5
226,0.72,62.7,59,5.73,5.69,3.58
227,0.7,62.8,60,5.68,5.66,3.56
228,0.84,55.1,67,6.39,6.2,3.47
229,0.75,61.4,59,5.88,5.85,3.6
230,0.52,62.2,55,5.14,5.18,3.21
231,0.72,63,54,5.69,5.73,3.6
232,0.79,63.7,56,5.85,5.92,3.75
233,0.72,63.6,58,5.66,5.69,3.61
234,0.51,62,57,5.11,5.15,3.18
235,0.64,61.5,56,5.54,5.55,3.41
236,0.7,60.5,60,5.74,5.77,3.48
237,0.83,61.1,60,6.07,6.1,3.72
238,0.76,61.8,56,5.85,5.87,3.62
239,0.71,63.3,56,5.64,5.68,3.58
240,0.77,59.4,64,5.97,5.92,3.53
241,0.71,62.5,55,5.71,5.65,3.55
242,1.01,64.5,58,6.29,6.21,4.03
243,1.01,62.7,59,6.31,6.22,3.93
244,0.77,64.2,52,5.81,5.77,3.72
245,0.76,63.7,54,5.76,5.85,3.7
246,0.76,60.4,58,5.92,5.94,3.58
247,0.76,61.8,58,5.82,5.86,3.61
248,1.05,63.2,56,6.49,6.45,4.09
249,0.81,61.6,56,5.97,6.01,3.69
250,0.7,61.6,56,5.72,5.75,3.53
251,0.55,60.9,57,5.28,5.3,3.22
252,0.81,61,61,5.94,5.99,3.64
253,0.63,62.1,57,5.48,5.41,3.38
254,0.63,60.9,60,5.55,5.52,3.37
255,0.77,61.3,60,5.9,5.88,3.61
256,1.05,65.8,59,6.41,6.27,4.18
257,0.64,61.3,56,5.54,5.58,3.41
258,0.76,58.8,59,6,5.94,3.51
259,0.83,62.3,55,6.02,6.05,3.76
260,0.71,60.1,62,5.77,5.74,3.46
261,0.71,61.8,59,5.73,5.69,3.53
262,0.87,63.6,55.8,6.07,6.1,3.87
263,0.73,62.2,56,5.74,5.78,3.58
264,0.71,59.2,59,5.83,5.86,3.46
265,0.71,61.8,59,5.7,5.75,3.54
266,0.71,61.3,55,5.72,5.77,3.52
267,0.7,62.1,60,5.71,5.65,3.53
268,0.7,60.7,60,5.78,5.75,3.5
269,0.76,59.6,57,5.91,5.86,3.51
270,0.7,62.2,56,5.73,5.68,3.55
271,0.79,60.6,57,5.98,6.06,3.65
272,0.7,62.9,57,5.66,5.69,3.57
273,0.7,64.1,55,5.6,5.66,3.61
274,0.76,61.3,56,5.87,5.91,3.61
275,0.73,62.7,55,5.72,5.76,3.6
276,0.79,63.2,56,5.91,5.86,3.72
277,0.71,60.7,56,5.81,5.82,3.53
278,0.81,61.9,60,5.91,5.86,3.64
279,0.81,62.6,55,5.92,5.96,3.72
280,0.72,60.7,60,5.74,5.72,3.48
281,0.72,62,60,5.73,5.69,3.54
282,0.72,63,57,5.72,5.7,3.6
283,0.81,58,59,6.17,6.13,3.57
284,0.72,62.9,57,5.73,5.65,3.58
285,1,58.2,60,6.61,6.55,3.83
286,0.73,63.2,58,5.7,5.76,3.62
287,0.81,61.3,59,5.94,6.01,3.66
288,0.81,60.3,60,6.07,6.1,3.67
289,0.71,62.7,60,5.67,5.71,3.57
290,0.71,61.3,58,5.73,5.75,3.52
291,0.71,61.6,60,5.74,5.69,3.52
292,0.57,61.9,55,5.34,5.35,3.31
293,0.51,61.7,56,5.12,5.16,3.17
294,0.72,61.9,58,5.72,5.75,3.55
295,0.74,61.8,58,5.77,5.81,3.58
296,0.74,61.6,56,5.81,5.82,3.58
297,0.7,58.8,66,5.81,5.9,3.44
298,0.8,61,57,6.03,6.01,3.67
299,1.01,67.4,60,6.19,6.05,4.13
300,0.8,63.4,60,5.92,5.82,3.72
301,0.77,61.5,59,5.87,5.91,3.62
302,0.83,58,62,6.19,6.25,3.61
303,0.82,62.4,54,5.97,6.02,3.74
304,0.78,61.9,57,5.91,5.86,3.64
305,0.6,61.6,56,5.43,5.46,3.35
306,0.9,62.2,59,6.07,6.11,3.79
307,0.7,62.2,58,5.6,5.66,3.5
308,0.9,61.3,56,6.17,6.23,3.8
309,0.83,62.3,57,5.99,6.08,3.76
310,0.83,61.8,57,6.03,6.07,3.74
311,0.83,62.5,59,5.95,6.02,3.74
312,0.74,62.9,60,5.74,5.68,3.59
313,0.79,61.8,59,5.92,5.95,3.67
314,0.61,62.3,56,5.43,5.45,3.39
315,0.76,59,70,5.89,5.8,3.46
316,0.96,60.7,55,6.37,6.41,3.88
317,0.73,62.5,55,5.8,5.76,3.61
318,0.73,62.7,58,5.76,5.7,3.59
319,0.75,60.4,57,5.93,5.96,3.59
320,0.71,62.1,58,5.7,5.67,3.53
321,0.71,57.8,60,5.9,5.87,3.4
322,0.71,63.8,58,5.64,5.61,3.59
323,0.71,62.8,57,5.69,5.64,3.56
324,1.04,62.2,58,6.46,6.41,4
325,1,62.3,58,6.45,6.34,3.98
326,0.87,59.9,58,6.19,6.23,3.72
327,0.53,61.9,54,5.22,5.25,3.24
328,0.72,63,55,5.79,5.61,3.59
329,0.72,62.4,58,5.83,5.7,3.6
330,0.7,62.9,58,5.63,5.65,3.55
331,0.74,63.5,56,5.74,5.79,3.66
332,0.71,61.3,56,5.75,5.71,3.51
333,0.73,60.6,54,5.84,5.89,3.55
334,0.7,65.1,58,5.56,5.59,3.63
335,0.71,62.6,58,5.7,5.67,3.56
336,0.71,58,62,5.85,5.81,3.38
337,0.71,62.4,61,5.7,5.65,3.54
338,0.77,61.3,57,5.93,5.88,3.62
339,0.71,59.9,60,5.81,5.77,3.47
340,0.78,60.8,58,6.03,5.95,3.64
341,0.71,63.5,55,5.66,5.64,3.59
342,0.91,62.2,57,6.21,6.15,3.85
343,0.71,63.8,58,5.62,5.66,3.6
344,0.71,64,57,5.66,5.68,3.63
345,0.8,62.5,56,5.88,5.96,3.7
346,0.7,62.3,58,5.69,5.73,3.56
347,0.72,61.7,57,5.74,5.77,3.55
348,0.72,62.2,58,5.75,5.7,3.56
349,0.82,61.5,56,6.01,6.08,3.72
350,0.7,61,59,5.68,5.7,3.47
351,0.72,62.2,56,5.74,5.77,3.58
352,0.72,61.5,54,5.77,5.8,3.56
353,0.9,67.3,59,5.93,5.84,3.96
354,0.74,61.7,58,5.85,5.78,3.59
355,0.74,61.9,56,5.8,5.77,3.58
356,0.73,61.8,58,5.77,5.81,3.58
357,0.57,58.7,66,5.34,5.43,3.16
358,0.73,62.5,57,5.75,5.7,3.58
359,0.72,62.8,56,5.74,5.7,3.59
360,0.74,61.1,68,5.82,5.75,3.53
361,0.82,64,57,5.92,5.89,3.78
362,0.81,62.5,60,5.89,5.94,3.69
363,0.75,60.6,58,5.85,5.9,3.56
364,0.7,61.6,55,5.72,5.74,3.53
365,0.71,62.2,58,5.66,5.72,3.54
366,0.71,60,57,5.84,5.9,3.52
367,0.93,61.9,57,6.21,6.19,3.84
368,0.8,62.8,57,5.87,5.91,3.7
369,0.7,62,57,5.64,5.71,3.52
370,1,66.4,59,6.16,6.09,4.07
371,0.75,63.4,56,5.78,5.74,3.65
372,0.58,60.9,56,5.41,5.43,3.3
373,0.73,63.1,57,5.74,5.7,3.61
374,0.81,63.1,59,5.85,5.79,3.67
375,0.81,59.2,57,6.15,6.05,3.61
376,0.71,60.7,54,5.84,5.8,3.53
377,1.2,64.6,56,6.73,6.66,4.33
378,0.7,61.8,56,5.63,5.7,3.5
379,0.7,59.9,60,5.77,5.84,3.48
380,0.74,61.7,55,5.81,5.85,3.6
381,0.7,62.8,61,5.57,5.61,3.51
382,0.8,62.7,57,5.84,5.93,3.69
383,0.75,63.4,58,5.72,5.76,3.64
384,0.83,63.5,54,5.98,5.95,3.79
385,1,65.7,59,6.14,6.07,4.01
386,0.99,68.1,56,6.21,6.06,4.18
387,0.7,63,60,5.57,5.64,3.53
388,0.7,59.5,58,5.75,5.85,3.45
389,0.7,63.5,59,5.49,5.53,3.5
390,0.7,61.7,58,5.63,5.69,3.49
391,0.32,62.7,58,4.37,4.34,2.73
392,0.32,62.8,58,4.39,4.34,2.74
393,0.32,62.4,57,4.37,4.35,2.72
394,0.32,61,59,4.39,4.36,2.67
395,0.32,63.1,56,4.39,4.36,2.76
396,0.32,60.7,57,4.47,4.42,2.7
397,0.3,60.9,59,4.31,4.29,2.62
398,0.3,60.1,55,4.41,4.38,2.64
399,0.3,62.9,58,4.28,4.24,2.68
400,0.3,63.3,56,4.29,4.27,2.71
401,0.3,63.8,55,4.26,4.2,2.7
402,0.3,62.9,57,4.27,4.22,2.67
403,0.3,63.4,60,4.25,4.23,2.69
404,0.32,63.9,55,4.36,4.34,2.78
405,0.33,61.4,56,4.85,4.79,2.95
406,0.29,61.9,55,4.28,4.33,2.66
407,0.29,62.4,55,4.2,4.25,2.63
408,0.31,61.8,58,4.32,4.35,2.68
409,0.34,61.5,56,4.47,4.5,2.76
410,0.34,60.4,57,4.54,4.57,2.75
411,0.34,61.8,55,4.48,4.52,2.78
412,0.34,62,56,4.5,4.53,2.8
413,0.3,62.3,56,4.29,4.31,2.68
414,0.29,61.6,56,4.26,4.31,2.64
415,0.35,60.6,56,4.56,4.58,2.77
416,0.43,58.4,62,4.94,5,2.9
417,0.32,61.4,58,4.37,4.42,2.7
418,0.36,61.9,56,4.54,4.57,2.82
419,0.3,62,56,4.28,4.3,2.66
420,0.26,61.5,57,4.09,4.12,2.52
421,0.7,62.3,58,5.64,5.72,3.54
422,0.7,60.9,61,5.66,5.71,3.46
423,0.71,62.4,57,5.69,5.72,3.56
424,0.99,55,61,6.72,6.67,3.68
425,0.73,58.6,60,5.92,5.89,3.46
426,0.51,62,57,5.15,5.11,3.18
427,0.91,59.8,58,6.3,6.29,3.77
428,0.84,63.4,55,6,5.95,3.79
429,0.91,64.3,58,6.09,6.05,3.9
430,0.76,62.2,59,5.86,5.81,3.63
431,0.76,61.7,57,5.88,5.85,3.62
432,0.75,61.1,59,5.86,5.83,3.57
433,0.55,61.5,56,5.23,5.27,3.23
434,0.76,58.5,62,5.93,6.01,3.49
435,0.74,61.7,58,5.79,5.81,3.58
436,0.7,60.4,56,5.75,5.81,3.49
437,0.7,61.4,56,5.7,5.76,3.52
438,0.7,61.5,55,5.73,5.79,3.54
439,0.7,61.4,56,5.72,5.77,3.53
440,0.9,65,56,6.08,6.04,3.94
441,0.95,56,60,6.62,6.53,3.68
442,0.89,60.2,59,6.26,6.23,3.76
443,0.72,58.3,58,5.99,5.92,3.47
444,0.96,53.1,63,6.73,6.65,3.55
445,1.02,60.3,58,6.55,6.5,3.94
446,0.78,61.4,56,5.91,5.95,3.64
447,0.61,60.1,57,5.52,5.54,3.32
448,0.71,63.4,55,5.61,5.69,3.58
449,0.78,61.5,59,5.96,5.88,3.64
450,0.87,62.7,56,6.16,6.13,3.85
451,0.83,62.5,55,6.04,6,3.76
452,0.71,61.3,56,5.78,5.73,3.53
453,0.71,60.2,56,5.84,5.89,3.53
454,0.71,62.7,57,5.66,5.64,3.54
455,0.71,62.3,58,5.69,5.65,3.53
456,0.63,61.5,56,5.48,5.52,3.38
457,0.71,59.2,59,5.86,5.83,3.46
458,0.71,61.8,59,5.75,5.7,3.54
459,0.71,61.3,55,5.77,5.72,3.52
460,0.71,61.4,58,5.77,5.73,3.53
461,0.9,62.8,55,6.2,6.16,3.88
462,0.71,62.8,64,5.6,5.54,3.5
463,0.7,62.4,61,5.66,5.63,3.52
464,0.7,59.3,60,5.78,5.73,3.41
465,0.7,63,60,5.64,5.6,3.54
466,1,61.3,60,6.43,6.39,3.93
467,0.86,59.3,62,6.36,6.22,3.73
468,0.8,61,57,6.07,6,3.68
469,0.7,62.9,57,5.66,5.61,3.54
470,0.7,59.6,57,5.91,5.83,3.5
471,0.7,61.8,60,5.69,5.64,3.5
472,0.7,62.7,57,5.68,5.64,3.55
473,1,65.3,62,6.34,6.12,4.08
474,0.72,63.8,58,5.64,5.68,3.61
475,0.72,62.3,56,5.73,5.77,3.58
476,0.7,59.7,63,5.76,5.79,3.45
477,0.86,64.3,60,5.97,5.95,3.83
478,0.71,62.9,58,5.66,5.69,3.57
479,0.75,62,57,5.8,5.78,3.59
480,0.73,61.6,59,5.77,5.73,3.54
481,0.53,61.9,55,5.2,5.21,3.22
482,0.73,61.3,58,5.83,5.76,3.55
483,0.73,63.6,57,5.72,5.7,3.63
484,0.73,59.6,61,5.92,5.85,3.51
485,0.73,62.2,59,5.77,5.68,3.56
486,0.73,61.7,55,5.84,5.82,3.6
487,0.73,63.2,58,5.76,5.7,3.62
488,0.7,60.8,60,5.74,5.71,3.48
489,0.72,60.3,59,5.84,5.8,3.51
490,0.72,60.9,60,5.8,5.76,3.52
491,0.72,62.4,59,5.77,5.7,3.58
492,0.7,60.2,60,5.73,5.7,3.44
493,0.6,62,55,5.37,5.4,3.34
494,0.74,60.8,57,5.85,5.89,3.57
495,0.73,62.1,55,5.75,5.78,3.58
496,0.71,62.7,60,5.71,5.67,3.57
497,0.71,61.3,58,5.75,5.73,3.52
498,0.7,60.2,60,5.82,5.75,3.48
499,0.7,60.7,56,5.75,5.72,3.48
500,0.9,64,61,6.04,6.03,3.86
501,0.71,60.2,56,5.86,5.83,3.52
502,0.7,61.5,59,5.73,5.68,3.51
503,0.7,62.6,56,5.71,5.66,3.56
504,0.7,59.7,58,5.82,5.77,3.46
505,0.7,61.4,64,5.71,5.66,3.49
506,0.7,62.5,57,5.62,5.59,3.51
507,0.7,61.8,56,5.73,5.63,3.51
508,0.7,60.7,62,5.72,5.68,3.46
509,0.7,60.6,58,5.8,5.72,3.49
510,0.7,61.4,54,5.75,5.71,3.52
511,0.79,62.8,59,5.86,5.9,3.69
512,0.9,63.8,57,6.06,6.13,3.89
513,0.71,62.3,58,5.71,5.66,3.54
514,0.61,61.3,54,5.51,5.59,3.4
515,0.9,65.8,54,6.05,5.98,3.96
516,0.71,60.5,56,5.77,5.73,3.47
517,0.71,61.2,59,5.74,5.69,3.5
518,0.77,62.1,57,5.84,5.86,3.63
519,0.74,63.1,58,5.73,5.75,3.62
520,0.82,62.4,54,6.02,5.97,3.74
521,0.82,60.8,60,6.05,6.03,3.67
522,0.71,62.2,59,5.73,5.66,3.54
523,0.83,60,59,6.08,6.05,3.64
524,0.73,62,57,5.75,5.8,3.58
525,0.83,62.5,59,6.02,5.95,3.74
526,1.17,60.2,61,6.9,6.83,4.13
527,0.91,61.3,67,6.24,6.19,3.81
528,0.73,62.6,60,5.75,5.68,3.58
529,0.7,57.2,59,5.94,5.88,3.38
530,0.9,62.2,59,6.11,6.07,3.79
531,0.7,62.2,58,5.66,5.6,3.5
532,0.7,63.3,56,5.6,5.58,3.54
533,0.7,59.4,61,5.78,5.74,3.42
534,0.9,63.5,56,6.17,6.07,3.88
535,0.78,60.8,60,5.97,5.94,3.62
536,0.96,60.7,55,6.41,6.37,3.88
537,0.7,62.3,59,5.67,5.7,3.54
538,0.72,64,54,5.68,5.7,3.64
539,0.79,62.6,58,5.96,5.9,3.71
540,0.7,61.6,57,5.69,5.74,3.52
541,0.7,62.3,55,5.66,5.7,3.54
542,0.7,60.6,57,5.74,5.77,3.49
543,1.01,61.6,61,6.39,6.31,3.91
544,0.72,62.2,58,5.75,5.7,3.56
545,0.8,63.7,54,5.91,5.87,3.75
546,0.59,62,56,5.36,5.38,3.33
547,0.72,61.7,57,5.77,5.74,3.55
548,0.75,61.9,57,5.88,5.82,3.62
549,0.8,60.2,57,6.05,6.01,3.63
550,0.71,62.7,59,5.65,5.7,3.56
551,0.77,61.7,56,5.84,5.89,3.62
552,0.97,60.7,56,6.41,6.43,3.9
553,0.53,60.9,57,5.23,5.29,3.19
554,0.53,61.8,57,5.16,5.19,3.2
555,0.8,62.1,54.4,5.94,5.99,3.7
556,0.9,60.6,62,6.21,6.13,3.74
557,0.76,60.8,60,5.89,5.98,3.61
558,0.72,62.3,57,5.7,5.76,3.57
559,0.75,61.4,57,5.82,5.87,3.59
560,0.72,62.1,58,5.73,5.76,3.57
561,0.79,61.8,56,5.93,5.91,3.66
562,0.72,62.5,58,5.71,5.75,3.58
563,0.91,62.8,61,6.15,6.18,3.87
564,0.71,62.1,57,5.75,5.65,3.54
565,0.81,63,60,5.87,5.81,3.68
566,0.82,62.5,57,5.91,5.97,3.71
567,0.71,62.2,58,5.72,5.66,3.54
568,0.9,64.3,63,6.05,6.01,3.88
569,0.8,62,58,5.86,5.95,3.66
570,0.56,61,59,5.28,5.34,3.24
571,0.7,59.6,61,5.77,5.8,3.45
572,0.7,61,57,5.74,5.76,3.51
573,0.61,61.7,55,5.45,5.48,3.37
574,0.85,62.5,57,6.02,6.07,3.78
575,0.7,60.7,57,5.73,5.75,3.49
576,0.8,62.2,56,5.94,5.87,3.67
577,0.8,62.8,57,5.91,5.87,3.7
578,0.51,59.9,58,5.16,5.19,3.1
579,0.53,61.4,57,5.2,5.23,3.2
580,0.78,61.8,55,5.92,5.95,3.67
581,0.9,63.4,54,6.17,6.14,3.9
582,0.9,65.3,59,6.07,6,3.94
583,0.77,60.7,55,6.01,5.95,3.63
584,0.73,61.2,56,5.89,5.81,3.58
585,0.63,61.9,57,5.47,5.51,3.4
586,0.7,61.5,54,5.7,5.75,3.52
587,0.72,62.8,57,5.71,5.73,3.59
588,0.72,61,57,5.78,5.8,3.53
